,objects
0096_outdoor_natural,"Tree/Plant, Rocks/Stones"
0018_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0184_indoor,"Building/Wall, Furniture, Tree/Plant"
0095_outdoor_natural,"Tree/Plant, Rocks/Stones"
0111_outdoor_natural,"Tree/Plant, Road/Street"
0257_outdoor_manmade,"Road/Street, Tree/Plant"
0175_outdoor_manmade,"Building/Wall, Tree/Plant, Body of water"
0124_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0186_outdoor_manmade,"Tree/Plant, Road/Street"
0234_indoor,"Building/Wall, Furniture"
0108_outdoor_natural,"Tree/Plant, Road/Street"
0282_indoor,"Building/Wall, Furniture, Body of water"
0256_outdoor_manmade,"Building/Wall, Road/Street"
0158_outdoor_natural,"Tree/Plant, Body of water, Rocks/Stones"
0125_outdoor_manmade,"Building/Wall, Road/Street"
0055_indoor,"Building/Wall, Furniture, Tree/Plant"
0104_outdoor_natural,Body of water
0179_outdoor_manmade,"Building/Wall, Road/Street, Tree/Plant"
0146_indoor,"Building/Wall, Furniture"
0193_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0046_outdoor_manmade,"Tree/Plant, Road/Street"
0131_outdoor_manmade,"Building/Wall, Body of water"
0099_outdoor_natural,Tree/Plant
0129_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0266_indoor,"Building/Wall, Furniture"
0105_outdoor_natural,"Body of water, Rocks/Stones"
0233_indoor,"Building/Wall, Furniture"
0023_outdoor_natural,"Building/Wall, Tree/Plant, Rocks/Stones"
0098_outdoor_natural,"Tree/Plant, Rocks/Stones"
0161_outdoor_manmade,"Tree/Plant, Furniture, Body of water, Rocks/Stones"
0227_outdoor_natural,"Tree/Plant, Road/Street"
0015_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0191_outdoor_manmade,"Tree/Plant, Road/Street"
0275_outdoor_natural,Body of water
0162_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0133_outdoor_manmade,"Road/Street, Rocks/Stones"
0215_indoor,"Building/Wall, Tree/Plant, Furniture"
0188_outdoor_manmade,"Tree/Plant, Body of water"
0277_indoor,"Building/Wall, Road/Street"
0240_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0106_outdoor_natural,"Tree/Plant, Rocks/Stones"
0045_outdoor_manmade,"Building/Wall, Road/Street, Tree/Plant"
0258_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0083_outdoor_natural,"Tree/Plant, Rocks/Stones"
0209_indoor,"Building/Wall, Furniture, Tree/Plant"
0135_indoor,"Building/Wall, Furniture"
0102_indoor,"Building/Wall, Furniture"
0189_outdoor_manmade,"Tree/Plant, Body of water"
0021_indoor,"Building/Wall, Road/Street"
0245_indoor,"Building/Wall, Furniture"
0165_outdoor_manmade,"Building/Wall, Tree/Plant, Body of water"
0038_indoor,"Building/Wall, Furniture, Tree/Plant"
0272_indoor,"Building/Wall,Furniture"
0027_outdoor_natural,"Tree/Plant,Rocks/Stones"
0247_outdoor_manmade,"Building/Wall, Road/Street"
0085_outdoor_natural,"Tree/Plant, Road/Street"
0101_outdoor_natural,"Tree/Plant, Road/Street"
0273_outdoor_natural,Body of water
0259_indoor,"Building/Wall, Furniture"
0130_indoor,"Building/Wall, Furniture"
0084_outdoor_natural,"Tree/Plant, Rocks/Stones"
0217_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0280_indoor,"Building/Wall, Furniture, Tree/Plant"
0035_indoor,"Building/Wall, Tree/Plant, Furniture"
0167_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0143_indoor,"Building/Wall, Furniture, Tree/Plant"
0057_indoor,"Building/Wall, Furniture"
0059_outdoor_manmade,"Building/Wall, Road/Street"
0153_outdoor_natural,"Body of water, Tree/Plant, Rocks/Stones"
0075_outdoor_natural,"Tree/Plant, Rocks/Stones"
0263_indoor,"Building/Wall, Furniture"
0236_indoor,"Building/Wall, Furniture"
0195_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street, Rocks/Stones"
0040_outdoor_manmade,"Building/Wall, Road/Street, Body of water"
0132_outdoor_natural,"Tree/Plant, Rocks/Stones"
0238_indoor,"Building/Wall, Furniture"
0072_indoor,"Building/Wall, Furniture"
0070_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0210_outdoor_natural,"Tree/Plant, Road/Street, Rocks/Stones"
0068_outdoor_manmade,"Tree/Plant, Road/Street"
0185_indoor,"Building/Wall, Furniture"
0157_outdoor_manmade,"Building/Wall, Tree/Plant, Furniture, Body of water"
0224_indoor,"Building/Wall, Furniture"
0271_indoor,"Building/Wall,Furniture"
0154_outdoor_manmade,"Tree/Plant, Body of water, Furniture"
0235_indoor,"Building/Wall,Furniture"
0178_outdoor_natural,"Building/Wall, Tree/Plant, Body of water"
0276_outdoor_manmade,Rocks/Stones
0080_indoor,"Building/Wall, Furniture, Tree/Plant"
0128_outdoor_natural,"Body of water, Rocks/Stones"
0036_indoor,"Building/Wall, Furniture"
0155_outdoor_manmade,"Building/Wall, Tree/Plant, Furniture, Body of water"
0140_indoor,"Building/Wall, Furniture"
0054_indoor,"Building/Wall, Furniture, Tree/Plant"
0229_indoor,"Building/Wall, Furniture, Tree/Plant"
0160_outdoor_natural,"Tree/Plant, Body of water, Rocks/Stones"
0283_indoor,"Building/Wall, Furniture"
0017_outdoor_natural,"Tree/Plant, Road/Street, Rocks/Stones"
0024_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0008_outdoor_natural,"Rocks/Stones, Tree/Plant"
0220_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street, Rocks/Stones"
0011_outdoor_natural,"Tree/Plant, Road/Street"
0166_outdoor_natural,"Body of water, Tree/Plant"
0265_indoor,"Building/Wall, Furniture"
0159_indoor,"Building/Wall, Furniture"
0009_outdoor_natural,"Rocks/Stones, Tree/Plant"
0152_outdoor_manmade,"Building/Wall, Tree/Plant, Body of water, Rocks/Stones"
0087_outdoor_manmade,"Building/Wall, Road/Street, Rocks/Stones"
0074_outdoor_manmade,"Building/Wall, Tree/Plant"
0033_indoor,"Building/Wall,Furniture"
0279_indoor,"Building/Wall, Furniture"
0066_indoor,"Building/Wall, Road/Street"
0010_outdoor_natural,"Rocks/Stones, Tree/Plant"
0145_indoor,"Building/Wall, Road/Street, Furniture, Rocks/Stones"
0119_outdoor_manmade,"Road/Street, Tree/Plant"
0163_indoor,"Building/Wall, Road/Street"
0148_outdoor_manmade,Body of water
0042_outdoor_natural,"Tree/Plant, Body of water, Rocks/Stones"
0136_indoor,"Building/Wall, Road/Street"
0013_outdoor_natural,"Rocks/Stones, Body of water"
0268_indoor,"Building/Wall, Furniture, Body of water"
0246_outdoor_natural,Body of water
0026_outdoor_manmade,"Building/Wall, Furniture"
0151_outdoor_manmade,"Tree/Plant, Building/Wall"
0221_indoor,"Building/Wall, Furniture"
0216_indoor,"Building/Wall, Furniture"
0043_outdoor_natural,"Tree/Plant, Road/Street, Rocks/Stones"
0243_indoor,"Building/Wall, Furniture"
0274_indoor,"Building/Wall, Furniture, Tree/Plant"
0149_outdoor_manmade,"Building/Wall, Tree/Plant, Body of water"
0150_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street, Furniture"
0076_outdoor_manmade,"Building/Wall, Tree/Plant, Furniture"
0120_outdoor_natural,"Tree/Plant, Road/Street"
0226_indoor,"Building/Wall, Furniture"
0211_indoor,Building/Wall
0115_outdoor_manmade,Rocks/Stones
0244_indoor,"Building/Wall, Furniture"
0007_outdoor_natural,"Tree/Plant, Road/Street, Rocks/Stones"
0121_outdoor_natural,"Tree/Plant, Road/Street, Rocks/Stones"
0089_outdoor_manmade,"Building/Wall, Tree/Plant, Body of water"
0032_outdoor_manmade,"Tree/Plant, Road/Street"
0203_outdoor_natural,"Tree/Plant, Body of water, Rocks/Stones"
0252_outdoor_natural,"Rocks/Stones, Tree/Plant"
0063_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0164_indoor,"Building/Wall, Furniture"
0025_indoor,"Building/Wall, Road/Street, Furniture"
0117_outdoor_manmade,"Building/Wall, Road/Street"
0093_outdoor_manmade,"Building/Wall, Furniture"
0060_outdoor_manmade,"Building/Wall, Tree/Plant, Rocks/Stones"
0251_outdoor_natural,"Rocks/Stones, Body of water"
0249_indoor,Building/Wall
0200_outdoor_natural,"Body of water, Tree/Plant"
0199_outdoor_natural,"Body of water, Rocks/Stones"
0056_indoor,"Building/Wall, Furniture"
0004_outdoor_natural,"Tree/Plant, Road/Street"
0281_indoor,"Building/Wall, Furniture"
0028_outdoor_manmade,"Building/Wall, Road/Street"
0262_indoor,"Building/Wall, Furniture, Tree/Plant"
0198_outdoor_natural,"Building/Wall, Body of water"
0250_outdoor_natural,Rocks/Stones
0030_outdoor_manmade,"Tree/Plant, Road/Street, Body of water"
0237_indoor,"Building/Wall, Furniture"
0147_outdoor_manmade,"Building/Wall, Body of water, Rocks/Stones"
0092_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street, Body of water"
0218_outdoor_natural,"Tree/Plant, Body of water, Road/Street"
0181_outdoor_natural,"Tree/Plant, Body of water, Rocks/Stones"
0005_outdoor_natural,"Tree/Plant, Road/Street, Rocks/Stones"
0110_outdoor_manmade,"Tree/Plant, Road/Street"
0067_outdoor_manmade,"Building/Wall, Road/Street"
0207_outdoor_natural,"Tree/Plant, Road/Street, Body of water"
0052_outdoor_natural,"Rocks/Stones, Tree/Plant"
0003_outdoor_natural,"Tree/Plant, Road/Street, Rocks/Stones"
0109_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0206_outdoor_natural,"Tree/Plant, Body of water"
0139_indoor,"Building/Wall, Furniture"
0053_outdoor_natural,"Tree/Plant, Rocks/Stones"
0002_outdoor_natural,"Tree/Plant, Body of water"
0232_indoor,"Building/Wall, Furniture"
0214_indoor,"Building/Wall, Furniture"
0241_indoor,"Building/Wall, Furniture"
0001_outdoor_natural,"Rocks/Stones, Tree/Plant"
0050_outdoor_natural,"Tree/Plant, Rocks/Stones"
0049_outdoor_natural,"Tree/Plant, Rocks/Stones"
0205_outdoor_natural,"Tree/Plant, Body of water, Rocks/Stones"
0065_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0254_outdoor_natural,Body of water
0156_indoor,"Building/Wall, Body of water"
0126_outdoor_natural,"Tree/Plant, Road/Street, Rocks/Stones"
0208_indoor,"Building/Wall, Furniture"
0103_indoor,"Building/Wall, Furniture"
0255_outdoor_natural,Body of water
0064_outdoor_manmade,"Building/Wall, Tree/Plant, Road/Street"
0142_outdoor_manmade,"Building/Wall, Tree/Plant, Body of water"
