,objects
0098_outdoor_natural,Tree/Plant
0161_outdoor_manmade,Body of water
0227_outdoor_natural,Tree/Plant
0015_outdoor_manmade,Road/Street
0191_outdoor_manmade,Tree/Plant
0275_outdoor_natural,Body of water
0162_outdoor_manmade,Tree/Plant
0133_outdoor_manmade,Road/Street
0215_indoor,Furniture
0188_outdoor_manmade,Body of water
0277_indoor,Building/Wall
0240_outdoor_manmade,Building/Wall
0106_outdoor_natural,Tree/Plant
0045_outdoor_manmade,Building/Wall
0258_outdoor_manmade,Road/Street
0083_outdoor_natural,Tree/Plant
0209_indoor,Furniture
0135_indoor,Furniture
0102_indoor,Furniture
0189_outdoor_manmade,Body of water
0021_indoor,Building/Wall
0245_indoor,Furniture
0165_outdoor_manmade,Building/Wall
0038_indoor,Furniture
0272_indoor,Furniture
0027_outdoor_natural,Tree/Plant
0247_outdoor_manmade,Building/Wall
0085_outdoor_natural,Tree/Plant
0101_outdoor_natural,Tree/Plant
0273_outdoor_natural,Body of water
0259_indoor,Building/Wall
0130_indoor,Furniture
0084_outdoor_natural,Tree/Plant
0217_outdoor_manmade,Road/Street
0280_indoor,Furniture
0035_indoor,Furniture
0167_outdoor_manmade,Road/Street
0143_indoor,Furniture
0057_indoor,Building/Wall
0059_outdoor_manmade,Building/Wall
0153_outdoor_natural,Body of water
0075_outdoor_natural,Rocks/Stones
0263_indoor,Furniture
0236_indoor,Furniture
0195_outdoor_manmade,Road/Street
0040_outdoor_manmade,Body of water
0132_outdoor_natural,Tree/Plant
0238_indoor,Furniture
0072_indoor,Furniture
0070_outdoor_manmade,Building/Wall
0210_outdoor_natural,Rocks/Stones
0068_outdoor_manmade,Road/Street
0185_indoor,Building/Wall
0157_outdoor_manmade,Furniture
0224_indoor,Furniture
0271_indoor,Building/Wall
0154_outdoor_manmade,Body of water
0235_indoor,Building/Wall
0178_outdoor_natural,Body of water
0276_outdoor_manmade,Rocks/Stones
0080_indoor,Furniture
0128_outdoor_natural,Body of water
0036_indoor,Furniture
0155_outdoor_manmade,Body of water
0140_indoor,Furniture
0054_indoor,Furniture
0229_indoor,Furniture
0160_outdoor_natural,Body of water
0283_indoor,Building/Wall
0017_outdoor_natural,Tree/Plant
0024_outdoor_manmade,Building/Wall
0008_outdoor_natural,Rocks/Stones
0220_outdoor_manmade,Road/Street
0011_outdoor_natural,Tree/Plant
0166_outdoor_natural,Body of water
0265_indoor,Furniture
0159_indoor,Furniture
0009_outdoor_natural,Rocks/Stones
0152_outdoor_manmade,Body of water
0087_outdoor_manmade,Building/Wall
0074_outdoor_manmade,Building/Wall
0033_indoor,Building/Wall
0279_indoor,Furniture
0066_indoor,Building/Wall
0010_outdoor_natural,Rocks/Stones
0145_indoor,Road/Street
0119_outdoor_manmade,Road/Street
0163_indoor,Building/Wall
0148_outdoor_manmade,Body of water
0042_outdoor_natural,Body of water
0136_indoor,Building/Wall
0013_outdoor_natural,Body of water
0268_indoor,Body of water
0246_outdoor_natural,Body of water
0026_outdoor_manmade,Building/Wall
0151_outdoor_manmade,Tree/Plant
0221_indoor,Furniture
0216_indoor,Furniture
0043_outdoor_natural,Tree/Plant
0243_indoor,Furniture
0274_indoor,Furniture
0149_outdoor_manmade,Building/Wall
0150_outdoor_manmade,Furniture
0076_outdoor_manmade,Building/Wall
0120_outdoor_natural,Tree/Plant
0226_indoor,Furniture
0211_indoor,Building/Wall
0115_outdoor_manmade,Rocks/Stones
0244_indoor,Furniture
0007_outdoor_natural,Tree/Plant
0121_outdoor_natural,Tree/Plant
0089_outdoor_manmade,Body of water
0032_outdoor_manmade,Road/Street
0203_outdoor_natural,Rocks/Stones
0252_outdoor_natural,Rocks/Stones
0063_outdoor_manmade,Road/Street
0164_indoor,Furniture
0025_indoor,Building/Wall
0117_outdoor_manmade,Building/Wall
0093_outdoor_manmade,Building/Wall
0060_outdoor_manmade,Rocks/Stones
0251_outdoor_natural,Body of water
0249_indoor,Building/Wall
0200_outdoor_natural,Body of water
0199_outdoor_natural,Body of water
0056_indoor,Furniture
0004_outdoor_natural,Tree/Plant
0281_indoor,Furniture
0028_outdoor_manmade,Building/Wall
0262_indoor,Furniture
0198_outdoor_natural,Body of water
0250_outdoor_natural,Rocks/Stones
0030_outdoor_manmade,Tree/Plant
0237_indoor,Furniture
0147_outdoor_manmade,Body of water
0092_outdoor_manmade,Building/Wall
0218_outdoor_natural,Body of water
0181_outdoor_natural,Body of water
0005_outdoor_natural,Tree/Plant
0110_outdoor_manmade,Tree/Plant
0067_outdoor_manmade,Building/Wall
0207_outdoor_natural,Tree/Plant
0052_outdoor_natural,Rocks/Stones
0003_outdoor_natural,Road/Street
0109_outdoor_manmade,Road/Street
0206_outdoor_natural,Tree/Plant
0139_indoor,Furniture
0053_outdoor_natural,Tree/Plant
0002_outdoor_natural,Body of water
0232_indoor,Furniture
0214_indoor,Furniture
0241_indoor,Building/Wall
0001_outdoor_natural,Rocks/Stones
0050_outdoor_natural,Rocks/Stones
0049_outdoor_natural,Rocks/Stones
0205_outdoor_natural,Tree/Plant
0065_outdoor_manmade,Tree/Plant
0254_outdoor_natural,Body of water
0156_indoor,Body of water
0126_outdoor_natural,Road/Street
0208_indoor,Furniture
0103_indoor,Furniture
0255_outdoor_natural,Body of water
0064_outdoor_manmade,Road/Street
0142_outdoor_manmade,Building/Wall
