,objects
0261_outdoor_natural,"hill, trail, flowers, grass, trees, sky, mountains."
0230_outdoor_natural,"Snow, post, strap, bushes, reeds, trees, sky."
0127_outdoor_manmade,"Cave, rail, rocks, wall, light, shadow."
0212_indoor,"windows, balcony, railing, floor, wall, ceiling, heater."
0176_outdoor_manmade,"houses, windows, shutters, street, sign, plants, cobblestones, sky, archway"
0058_indoor,"Sofas, chairs, staircase, table, vending machine, bookshelf, books, bulletin board, air conditioner, radiator, curtains, door."
0270_indoor,"walls, holds, matting."
0034_outdoor_natural,"sky, clouds, mountains, grass, water, reflection, bird"
0096_outdoor_natural,"trees, rocks, leaves, soil, moss, path"
0018_outdoor_manmade,"Flags, statues, plants, staircase, railing, trees, river, mountains, sky."
0184_indoor,"Doorway, wall, sconce, hat, vase, flowers, reflection."
0095_outdoor_natural,"trees, leaves, rocks, soil, wall, path."
0111_outdoor_natural,"trees, road, grass, sky, puddle"
0257_outdoor_manmade,"road, sky, poles, wires, mountains, desert, vegetation, lines."
0175_outdoor_manmade,"water, trees, houses, sky, clouds"
0124_outdoor_manmade,"buildings, street, car, bollards, sidewalk, windows, doors, balconies, streetlight, sky, tree."
0186_outdoor_manmade,"rails, path, trees, bushes, sky"
0234_indoor,"Bookshelf, books, frames, alarm, door, computers, desk, chair, trashcan, boxes, carpet."
0108_outdoor_natural,"Trees, bushes, grass, path, fence."
0282_indoor,"Pool, lanes, starting blocks, flags, windows, ceiling, lights, doors, benches, speakers, ladder, tiles."
0256_outdoor_manmade,"Road, markings, barrier, buildings, sky."
0158_outdoor_natural,"Geyser, steam, trees, sky, soil."
0125_outdoor_manmade,"Tunnel, lights, pavement, wall, ceiling."
0055_indoor,"Bed, pillows, blanket, throw, nightstands, lamps, painting, ceiling light, recessed lights, chairs, table, curtains, window, plant, mirror, door, carpet."
0104_outdoor_natural,"ocean, sky, clouds, waves"
0179_outdoor_manmade,"Buildings, sky, sign, sculpture, lights, cobblestones, plants, people."
0146_indoor,"Exhibition, floor, ceiling, walls, pillars, banners."
0193_outdoor_manmade,"tree, house, spirit house, road, grass, sky, poster, pots."
0046_outdoor_manmade,"Trees, road, guardrail, signpost, sky, foliage, shadows."
0131_outdoor_manmade,"Tunnel, water, bricks."
0099_outdoor_natural,"trees, leaves, grass, bushes"
0129_outdoor_manmade,"Ruins, road, poles, wires, sky, vegetation."
0266_indoor,"Staircase, handrails, lamp, painting, frames, sign."
0105_outdoor_natural,"Ocean, Icebergs, Sky"
0233_indoor,"door, bookshelf, books, office, printer, chair, desk, carpet, window, clock, poster, cabinet, bin, pipes, HVAC."
0023_outdoor_natural,"Rocks, palm, building, sky."
0098_outdoor_natural,"Trees, sun, snow, shadows, sky."
0161_outdoor_manmade,"Pond, stepping-stones, chair, plants."
0227_outdoor_natural,"Snow, Path, Trees, Sky, Grasses, Bushes, Clouds."
0015_outdoor_manmade,"road, buildings, trees, powerlines, sky, poles, signs, sidewalk."
0191_outdoor_manmade,"Vines, trellis, path, trees, flowers, grass, irrigation, fence, tractor."
0275_outdoor_natural,"sky, clouds, ocean, waves, beach, sand, tire-tracks"
0162_outdoor_manmade,"Trees, sky, fence, pergola, plants, shadows, road, curb, foliage, urn."
0133_outdoor_manmade,"Road, sand, sky."
0215_indoor,"TV, cabinet, plants, speaker, vase, bottles, console, tablet, chair, cushion, coffee table, flowers, book, candle, sofa, staircase."
0188_outdoor_manmade,"bridge, ropes, planks, water, trees, sky, clouds, houses, grass"
0277_indoor,"Tunnel, lights, wires, doorways, conduit, pavement."
0240_outdoor_manmade,"trees, buildings, construction barrier, posters, sidewalk, street, shadows"
0106_outdoor_natural,"trees, leaves, soil"
0045_outdoor_manmade,"Buildings, alley, sky, laundry, windows, air-conditioner, plants, pipes, wires."
0258_outdoor_manmade,"Path, tunnel, trees, grass, sign."
0083_outdoor_natural,"Fields, hills, sky, trees, grass, clouds."
0209_indoor,"chandelier, chairs, tables, bottles, glasses, apples, laptop, projector, screen, carpet, walls, air conditioner, doors, plants."
0135_indoor,"Shelves, cones, caution-tape, wires, lights, signs, products, backpack, floor, ceiling."
0102_indoor,"tables, chairs, windows, door, whiteboard, projector, ceiling lights"
0189_outdoor_manmade,"Pond, algae, trees, grass, litter, sky, reflection."
0021_indoor,"Corridor, walls, lights, handrails, floor."
0245_indoor,"shelves, products, signs, lights, ceiling, floor, banner, fruits, advertisement"
0165_outdoor_manmade,"castle, trees, water, sky, path, wall, fences."
0038_indoor,"Chair, heater, carpet, bed, curtain, window, mirror, door, walls, ceiling, floor."
0272_indoor,"Walls, holds, mats."
0027_outdoor_natural,"palms, sky, clouds, sand."
0247_outdoor_manmade,"Tunnel, graffiti, lights, handrail."
0085_outdoor_natural,"mountains, sky, clouds, trees, shrubs, path, buildings."
0101_outdoor_natural,"trees, sky, trail, grass, shrubs"
0273_outdoor_natural,"water, sky, clouds, land"
0259_indoor,"ice, rink, lights, ceiling, goal, net, boards, advertisements, speakers, scoreboard"
0130_indoor,"stairs, handrails, glass, woodwork, ceiling, lights, floor"
0084_outdoor_natural,"Tree, branches, leaves, roots, soil, sky."
0217_outdoor_manmade,"trees, snow, road, fence, trashcan, sign, sidewalk, grass, railing"
0280_indoor,"mirror, ceiling-lights, chair, table, plant, rug, sofa, cushions, bed, artwork, television, wardrobe, doors, radiator."
0035_indoor,"desk, monitors, keyboard, mouse, phone, plant, frames, chair, tablecloth, boxes, window, blinds, ceiling, lights, carpet, walls."
0167_outdoor_manmade,"Lamppost, trees, road, wires, house, fence, sign, sky, shrubs."
0143_indoor,"counter, brochures, displays, photographs, posters, cabinet, plant, air conditioner, lights, windows, door, doormat, flooring, tablecloth, horseshoe, postcards."
0057_indoor,"corridor, doors, carpet, lights, walls, signage."
0059_outdoor_manmade,"buildings, parking, snow, sky, clouds."
0153_outdoor_natural,"water, vegetation, mountains, sky, poles, wires."
0075_outdoor_natural,"Sky, Cloud, Trees, Sand, Erosion, Shadows."
0263_indoor,"chandelier, chairs, tables, paintings, doors, benches, plants, display-cases, beams, lights."
0236_indoor,"Lantern, tatami, doors, windows, walls, corridor."
0195_outdoor_manmade,"pathway, railing, stones, moss, leaves, plants, openings, sunlight."
0040_outdoor_manmade,"houses, road, sea, sky, car, poles, wires, clothes, vegetation."
0132_outdoor_natural,"Dunes, trees, shrubs, sand."
0238_indoor,"benches, lights, doors, pictures, handrails, floor, walls, ceiling."
0072_indoor,"armchair, cushions, bed, shelves, mirror, bottles, curtains, refrigerator, fire extinguisher, trash bin, table, carpet, doorway, trees."
0070_outdoor_manmade,"Pathway, trees, building, railings, sky."
0210_outdoor_natural,"arches, sky, path, plants, rocks, shadows."
0068_outdoor_manmade,"Road, foliage, mountains, sky, bollards."
0185_indoor,"corridor, doors, windows, tiles, bench, columns, ceiling, walls, railing"
0157_outdoor_manmade,"Pool, hose, ladder, chairs, umbrella, cactus, trees, fence, cushion."
0224_indoor,"door, walls, frames, ceiling, floor, tables, refrigerator, banner."
0271_indoor,"walls, holds, arches, graffiti, floor, beam, screen."
0154_outdoor_manmade,"boardwalk, rope, posts, bench, water, trees, grass, sky."
0235_indoor,"escalators, tiles, handrails, wall, ticket machine, sign, floor, tactile paving."
0178_outdoor_natural,"River, trees, sky, buildings, bridge."
0276_outdoor_manmade,"tunnel, rocks, gravel, ground, walls."
0080_indoor,"Lamp, plant, shelf, frames, sofa, chair, table, cushion, rug, kitchen, vase."
0128_outdoor_natural,"Rock, water."
0036_indoor,"tables, chairs, monitors, computer, mouse, keyboard, cubicles, posters, shelves, books, ceiling, lights, floor, walls."
0155_outdoor_manmade,"Pool, chairs, umbrella, steps, trees, windows, arches, building, loungers."
0140_indoor,"Exhibit, displays, panels, monitor, lights, table, bench, brochures, photographs, text."
0054_indoor,"Sculptures, fireplace, logs, sofa, coffee table, decor, ceiling lights, steps, window, blinds, trees, flooring."
0229_indoor,"Chairs, tables, carpet, windows, clock, plant, cabinet, door, artworks, ceiling."
0160_outdoor_natural,"Trees, lake, mountain, sky, clouds, shore, rocks."
0283_indoor,"Building, lights, ceiling, floor, goalposts, doors, scoreboard, walls."
0017_outdoor_natural,"Trees, mountains, sky, clouds, trail, grass."
0024_outdoor_manmade,"buildings, windows, shutters, plants, pots, cobblestones, lights, wires, lanterns, doors."
0008_outdoor_natural,"Rocks, moss, sunlight, shadows."
0220_outdoor_manmade,"Snow, road, bridge, signs, lights, fence, trees, buildings."
0011_outdoor_natural,"Trees, snow, path, sky."
0166_outdoor_natural,"dunes, grass, sand, ocean, sky."
0265_indoor,"Lamps, mirrors, television, desk, chairs, dresser, refrigerator, glass, bench, curtains, carpet."
0159_indoor,"chairs, blackboards, desk, screen, lights, trashcan"
0009_outdoor_natural,"Rocks, vegetation."
0152_outdoor_manmade,"River, rocks, trees, mountains, fence."
0087_outdoor_manmade,"house, rocks, road, pipe, trees, sky."
0074_outdoor_manmade,"Tree, house, walkway, grass, ferns, downspout."
0033_indoor,"Stairs, tiles, handrail, banister, shadows."
0279_indoor,"kitchen, coffee maker, stool, refrigerator, microwave, cabinets, countertop, decorations, floor, ceiling lights.
"
0066_indoor,"Parking, lights, columns, signage, arrows, ceiling, floor."
0010_outdoor_natural,"Rocks, sky, sunlight, plants."
0145_indoor,"Coyote, rocks, pipe, monitors, signs, ceiling, lights."
0119_outdoor_manmade,"road, snow, lines, sky, clouds, trees, hills"
0163_indoor,"Escalator, stairs, handrails, lights, tiles, walls."
0148_outdoor_manmade,"Pier, ocean, sky, waves, supports, beams."
0042_outdoor_natural,"River, mountain, sky, trees, rocks."
0136_indoor,"Arcade, shops, floor, lights, columns, ceiling, glass, balustrade."
0013_outdoor_natural,"ice, mountains, sky"
0268_indoor,"Column, lifering, pool, lights, plant, chair, sofa."
0246_outdoor_natural,"Sea, sky, sand, sunlight, waves."
0026_outdoor_manmade,"Canopy, railing, walkway, sign, columns, shadows, trees."
0151_outdoor_manmade,"Tree, walkway, huts, sand, grass, shadows, fence, sign."
0221_indoor,"window, blinds, radiator, wall, number, text, floor, ceiling, lights, chair, door, elevator."
0216_indoor,"table, chairs, lights, ceiling, projectors, windows, doors, walls, floor"
0043_outdoor_natural,"trees, sign, rocks, path, shrubs, shadows, soil"
0243_indoor,"Carpet, chairs, lamps, walls, windows, doors, sign, fountain, desk, candleholder, mailbox."
0274_indoor,"corridor, ceiling, lights, painting, wall, plants, pots, bench, mirror, sconces, signage."
0149_outdoor_manmade,"Bridge, water, stairs, railing, graffiti, shadows, foliage, path, railing."
0150_outdoor_manmade,"buildings, trees, lights, sign, monument, bench, stairs, pathway, street, cars."
0076_outdoor_manmade,"tree, brick, door, railing, vase, window, roof"
0120_outdoor_natural,"cornstalks, path, sky, clouds."
0226_indoor,"chairs, tables, monitor, curtains, rugs, door, trashcan, lights, painting"
0211_indoor,"hallway, doors, lights, walls, floor, numbers."
0115_outdoor_manmade,"Tunnel, Stones, Mud"
0244_indoor,"Thermostat, speakers, laptop, sofa, armchair, cushion, window, curtain, lamp, exercise bike, boxing gloves, bottles, cardboard box, electronics, trash, carpet, walls, ceiling."
0007_outdoor_natural,"trees, snow, path, grass, branches."
0121_outdoor_natural,"trees, leaves, soil, path, shadow"
0089_outdoor_manmade,"Hut, poles, vegetation, water, sky."
0032_outdoor_manmade,"road, tree, hills, grass, sky"
0203_outdoor_natural,"Stream, rocks, pebbles, trees, ferns, moss."
0252_outdoor_natural,"rock, rope, sign"
0063_outdoor_manmade,"Traffic-lights, Building, Road, Sky, Trees, Sidewalk, Signals, Graffiti, Car, Streetlights, Signs."
0164_indoor,"Books, bookshelves, table, chairs, carpet, ceiling, lights, window."
0025_indoor,"Corridor, handrail, lights, benches, sign, floor, ceiling"
0117_outdoor_manmade,"Building, roof, tiles, wires, banners, alley, street, cars, people."
0093_outdoor_manmade,"Buildings, sky, clothes, windows, trees, poles."
0060_outdoor_manmade,"stairs, rocks, plants, post, building, hose, flowers, tree, stump, dirt, handrail, sunlight."
0251_outdoor_natural,"Canyon, Water, Sky."
0249_indoor,"Tunnel, lights, fan, barrier."
0200_outdoor_natural,"water, hills, trees, clouds, sky"
0199_outdoor_natural,"islands, water, sky, cloud"
0056_indoor,"Doorway, shelves, books, floor, wall, picture, chairs, counter, sink, faucet, mirror, towel, towel dispenser, light switch, wall outlet."
0004_outdoor_natural,"Tree, Path, Shrubs, Sky, Grass, Shadow."
0281_indoor,"Mirror, floor, ceiling, lights, speakers, doors, ballet barres, fan, wall, trim."
0028_outdoor_manmade,"buildings, alley, doors, windows, tiles, wires."
0262_indoor,"Bed, dresser, ottoman, refrigerator, television, mirror, lamp, picture, tissue, chair, table, coffee-maker, carpet."
0198_outdoor_natural,"sea, sky, clouds, island, pier, buildings, hill."
0250_outdoor_natural,"rock, tunnel, moss"
0030_outdoor_manmade,"Tree, sky, road, bridge, fence, grass, bushes, horizon."
0237_indoor,"Doors, signs, carpet, walls, ceiling, lights, handrail."
0147_outdoor_manmade,"pier, boat, water, shore, building, sky, clouds."
0092_outdoor_manmade,"shacks, barrels, walkway, boat, poles, clothing, sand, trash."
0218_outdoor_natural,"River, snow, grass, trees, reeds, lamp-posts, road."
0181_outdoor_natural,"Waterfalls, pools, trees, leaves, sunlight, shadows."
0005_outdoor_natural,"Trees, trail, mountains, sky, foliage."
0110_outdoor_manmade,"trees, road, sky, bushes, shadows"
0067_outdoor_manmade,"buildings, stairs, windows, doors, awning, sky, lanterns, handrail."
0207_outdoor_natural,"Trees, path, grass, pond, sky, clouds, shadows."
0052_outdoor_natural,"rocks, sky, vegetation"
0003_outdoor_natural,"Trail, trees, grass, shrubs, sky, mountain, clouds."
0109_outdoor_manmade,"trees, buildings, streetlights, road, sidewalk, grass, shrubs, sky"
0206_outdoor_natural,"trees, sky, grass, river"
0139_indoor,"table, necklaces, display, pottery, shelf, merchandise, sign, lights, windows, ceiling, floor, chairs, tablecloth, racks, souvenirs, beams, doors."
0053_outdoor_natural,"Field, rocks, trees, hill, sky."
0002_outdoor_natural,"trees, shrubs, grass, river, sky"
0232_indoor,"paintings, clock, curtains, chairs, fireplace, television, desk, toys, basket, laptop, remote, papers, tablecloth, table, placemats, carpet, door, throw, ottoman, cushions."
0214_indoor,"pews, chandelier, cross, altar, candles, columns, arches"
0241_indoor,"door, sign, poster, light, trashcan, floor, wall"
0001_outdoor_natural,"mountains, sky, clouds, geysers, steam, ground, rocks, grass, vehicles."
0050_outdoor_natural,"mountains, sky, trail, rocks, chains, vegetation, clouds"
0049_outdoor_natural,"rocks, plants, sky, person."
0205_outdoor_natural,"beach, water, trees, mountains, clouds."
0065_outdoor_manmade,"Trees, path, barrier, pylons, grass, bushes, shadows, sky, building, tanks."
0254_outdoor_natural,"Sea, sky, sand, clouds."
0156_indoor,"Pool, tiles, lanes, ropes, water, reflections, windows, walls."
0126_outdoor_natural,"path, puddle, grass, stone-wall, gate, trees, hill, tunnel, rocks."
0208_indoor,"cabinets, clock, whiteboard, printer, trashcan, chair, lights."
0103_indoor,"Desks, chairs, blackboards, photographs, heater, door, windows, chalk, erasers, books, papers, globe, bench, walls, floor."
0255_outdoor_natural,"Sky, clouds, ocean, waves, beach, shadow."
0064_outdoor_manmade,"Road, trees, lamppost, signs, wall, pavement."
0142_outdoor_manmade,"Fountain, building, trees, sky."
